1625322863.5247025,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322864.0763702,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322864.5804594,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322865.0874043,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322865.5906866,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322866.0941157,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322866.597957,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322867.1016257,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322867.605004,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322868.1099136,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322868.613083,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322869.1185787,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322869.6218076,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322870.1259947,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322870.629124,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322871.1316519,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322871.6381493,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322872.1769354,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322872.6805336,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322873.1851182,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322873.6880605,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322874.1926813,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322874.7056317,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322875.2100546,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322875.7131023,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322876.2166333,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322876.7194798,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322877.2808979,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322877.7857044,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322878.2922533,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322878.7976582,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322879.3773906,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322879.881674,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322880.3855188,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
