1627976090.7951183,migration switch10,Rate 25.698204926964735, from 3, to 4,1627976089.6888254,1.1062955856323242
1627976091.8646722,migration switch3,Rate 15.487593575308647, from 2, to 1,1627976087.5339515,4.330721855163574
1627976093.9807546,migration switch4,Rate 29.195390095624816, from 1, to 4,1627976088.8543563,5.126400947570801
1627976095.9269435,migration switch10,Rate 24.118684652832297, from 4, to 3,1627976084.630051,11.296894550323486
1627976097.9557657,migration switch10,Rate 21.211974136131047, from 3, to 2,1627976090.795843,7.159924268722534
1627976099.08411,migration switch2,Rate 26.438712601764, from 4, to 2,1627976095.927333,3.156778335571289
1627976101.191457,migration switch10,Rate 21.29790792153177, from 2, to 4,1627976091.8647583,9.326700448989868
1627976102.355832,migration switch2,Rate 26.94729908817423, from 2, to 1,1627976101.1915927,1.164240837097168
1627976103.4235227,migration switch12,Rate 37.18333816208157, from 2, to 3,1627976102.3561952,1.067328929901123
1627976104.5159755,migration switch9,Rate 43.445421112685764, from 2, to 4,1627976103.4236104,1.0923666954040527
1627976105.0801873,migration switch12,Rate 31.650491037998567, from 3, to 4,1627976097.9559085,7.124281406402588
1627976106.118172,migration switch1,Rate 22.88846569403703, from 1, to 2,1627976093.981478,12.136695623397827
1627976107.4154124,migration switch4,Rate 28.372246909507666, from 4, to 1,1627976099.0842009,8.331215381622314
1627976108.5168376,migration switch10,Rate 35.87937033927407, from 4, to 3,1627976107.4160354,1.100804090499878
1627976109.6600285,migration switch12,Rate 36.89753466771051, from 4, to 2,1627976108.5171545,1.1428747177124023
1627976110.7885273,migration switch15,Rate 41.80182492320034, from 4, to 3,1627976109.660095,1.1284337043762207
1627976111.6412256,migration switch1,Rate 19.909893499196276, from 2, to 3,1627976104.516075,7.125152587890625
1627976112.8944838,migration switch9,Rate 60.946436640821545, from 4, to 2,1627976110.788636,2.1058499813079834
1627976113.39081,migration switch1,Rate 15.7823104803271, from 3, to 2,1627976105.0806074,8.310203552246094
1627976114.2730646,migration switch4,Rate 19.51919962250631, from 1, to 4,1627976106.1184688,8.154598236083984
1627976114.8658679,migration switch12,Rate 21.564464549283628, from 2, to 4,1627976111.6417735,3.2240962982177734
1627976115.5195754,migration switch10,Rate 28.5445573213008, from 3, to 4,1627976113.3908644,2.128713369369507
1627976116.6587894,migration switch5,Rate 33.75352704422489, from 3, to 1,1627976115.5207639,1.1380279064178467
1627976118.0161772,migration switch1,Rate 17.469966663178372, from 2, to 3,1627976114.868517,3.14766263961792
1627976119.0290012,migration switch4,Rate 17.083444555214964, from 4, to 3,1627976112.8948312,6.134172201156616
1627976120.4107382,migration switch2,Rate 29.88868737601909, from 1, to 2,1627976114.273505,6.137234210968018
1627976120.8361738,migration switch4,Rate 17.252008396431265, from 3, to 2,1627976116.659148,4.177026987075806
1627976121.910893,migration switch1,Rate 20.663804187833456, from 3, to 1,1627976120.8362658,1.0746285915374756
1627976123.1614566,migration switch10,Rate 24.88164607837892, from 4, to 3,1627976119.0293603,4.132099390029907
1627976124.3045447,migration switch12,Rate 29.23182781688375, from 4, to 3,1627976123.1680021,1.1365458965301514
1627976125.278664,migration switch4,Rate 19.988577579937086, from 2, to 1,1627976118.01667,7.261995553970337
1627976126.213183,migration switch10,Rate 23.499756853285504, from 3, to 4,1627976121.910995,4.302191257476807
1627976127.3619654,migration switch12,Rate 27.12236758495883, from 3, to 4,1627976126.2137542,1.1482133865356445
1627976128.4655247,migration switch2,Rate 29.584644153496562, from 2, to 1,1627976125.2801385,3.18538761138916
1627976129.4733572,migration switch10,Rate 20.89426166093218, from 4, to 3,1627976124.3051639,5.1681969165802
1627976131.554618,migration switch10,Rate 21.469082896853365, from 3, to 1,1627976127.3637784,4.190842151641846
1627976133.6253622,migration switch12,Rate 30.56534165045745, from 4, to 2,1627976129.4739258,4.151439189910889
1627976134.755286,migration switch1,Rate 17.547292462389706, from 1, to 2,1627976120.4108396,14.344449043273926
1627976135.7899399,migration switch1,Rate 15.869698102575494, from 2, to 4,1627976128.465873,7.324068784713745
1627976136.9115312,migration switch4,Rate 19.65181539641555, from 1, to 4,1627976134.7560978,2.1554348468780518
1627976137.9425483,migration switch12,Rate 30.328822849177207, from 2, to 3,1627976135.7905667,2.1519832611083984
1627976139.0468073,migration switch10,Rate 23.150335496691223, from 1, to 4,1627976136.911623,2.1351864337921143
1627976140.151753,migration switch3,Rate 28.75277498896661, from 1, to 2,1627976139.0486093,1.1031463146209717
1627976141.2514586,migration switch2,Rate 28.363280902766412, from 1, to 2,1627976140.1522858,1.0991740226745605
1627976141.7468452,migration switch10,Rate 16.917571365620912, from 4, to 2,1627976133.6255817,8.121267557144165
1627976143.1651642,migration switch10,Rate 16.221492970055515, from 2, to 1,1627976137.9430234,5.222142457962036
1627976144.2995439,migration switch9,Rate 24.27760667470012, from 2, to 1,1627976143.1656628,1.1338825225830078
1627976145.3881698,migration switch9,Rate 18.70368669973799, from 1, to 3,1627976141.263757,4.124415636062622
1627976146.3828826,migration switch2,Rate 26.848845907068675, from 2, to 3,1627976144.300119,2.0827646255493164
1627976150.7228966,migration switch9,Rate 17.56702880277286, from 3, to 1,1627976131.5547473,19.168150663375854
1627976152.6418588,migration switch9,Rate 15.850128314036445, from 1, to 3,1627976145.3887498,7.253109931945801
1627976153.9028888,migration switch4,Rate 35.623750062461326, from 4, to 1,1627976141.747457,12.15543818473816
1627976154.6166718,migration switch3,Rate 27.475770854521667, from 2, to 1,1627976146.3829777,8.233696460723877
1627976155.9833112,migration switch9,Rate 15.84425521364984, from 3, to 4,1627976150.722989,5.260323524475098
1627976156.8884072,migration switch10,Rate 21.631233718847938, from 1, to 2,1627976152.6420062,4.246404409408569
1627976158.0466785,migration switch3,Rate 26.17504625922503, from 1, to 2,1627976156.8892221,1.157458782196045
1627976159.7258065,migration switch10,Rate 18.567155695049383, from 2, to 3,1627976154.6172469,5.108561277389526
1627976161.0837545,migration switch9,Rate 17.46149313536186, from 4, to 2,1627976153.9035344,7.1802215576171875
1627976163.2121487,migration switch10,Rate 22.180810134265176, from 3, to 4,1627976155.9837465,7.228405714035034
1627976164.312287,migration switch14,Rate 31.33747702264328, from 3, to 4,1627976163.2127728,1.0995168685913086
1627976164.898874,migration switch9,Rate 18.920590454817688, from 2, to 4,1627976159.727652,5.171222925186157
1627976166.325665,migration switch10,Rate 23.834495280543322, from 4, to 3,1627976161.0928707,5.232797622680664
1627976167.4157338,migration switch14,Rate 31.285843511107508, from 4, to 1,1627976166.3264089,1.0893275737762451
1627976168.4269733,migration switch10,Rate 27.497051751089064, from 3, to 2,1627976164.3124695,4.114506959915161
1627976169.5287042,migration switch9,Rate 33.71029168430728, from 4, to 1,1627976167.4165535,2.112154245376587
1627976171.0402274,migration switch10,Rate 21.699949532592044, from 2, to 4,1627976164.898966,6.1412622928619385
1627976171.5658703,migration switch11,Rate 35.66383172774966, from 3, to 4,1627976168.42777,3.1381044387817383
1627976172.1232016,migration switch3,Rate 25.29428149367225, from 2, to 4,1627976171.0403225,1.082880973815918
1627976172.7763615,migration switch3,Rate 21.28246524625258, from 4, to 3,1627976169.5300567,3.246307849884033
1627976173.1991577,migration switch14,Rate 34.078698571697174, from 1, to 3,1627976158.047317,15.15184235572815
1627976173.8858128,migration switch10,Rate 24.65176096104381, from 4, to 3,1627976172.7771087,1.1087050437927246
1627976174.2730494,migration switch9,Rate 39.25151649364264, from 1, to 2,1627976173.1992693,1.0737810134887695
1627976175.0139902,migration switch11,Rate 36.70990939431979, from 4, to 2,1627976173.8859286,1.1280624866485596
1627976175.8055155,migration switch14,Rate 21.699203885001328, from 3, to 1,1627976171.566684,4.238832473754883
1627976176.2118635,migration switch9,Rate 32.95042850544758, from 2, to 1,1627976172.1239173,4.087947130203247
1627976176.8772547,migration switch10,Rate 22.753668332581768, from 3, to 1,1627976175.8056126,1.0716431140899658
1627976177.9465299,migration switch3,Rate 25.14309709283946, from 3, to 2,1627976176.8773239,1.069206714630127
1627976178.4024296,migration switch10,Rate 17.43176440473794, from 1, to 2,1627976174.273123,4.129308223724365
1627976179.0317254,migration switch2,Rate 27.72652387907529, from 3, to 2,1627976177.9465988,1.085127353668213
1627976179.489217,migration switch14,Rate 21.863059286218775, from 1, to 4,1627976178.4025283,1.0866897106170654
1627976180.4584692,migration switch2,Rate 20.25431381912841, from 2, to 3,1627976176.2119493,4.246520519256592
1627976181.5873833,migration switch10,Rate 22.8593175729433, from 2, to 3,1627976180.458533,1.128852367401123
1627976183.160317,migration switch14,Rate 19.901715939628733, from 4, to 2,1627976175.0140553,8.146263837814331
1627976183.5743623,migration switch9,Rate 37.813862185139676, from 1, to 2,1627976179.4893374,4.085026264190674
1627976184.1602013,migration switch10,Rate 18.539539121219352, from 3, to 2,1627976179.0317936,5.128408908843994
1627976184.8405478,migration switch14,Rate 15.447105097061076, from 2, to 1,1627976181.5881057,3.252443552017212
1627976185.966891,migration switch10,Rate 17.574351941043133, from 2, to 1,1627976184.8406448,1.1262481212615967
1627976187.0521224,migration switch3,Rate 25.05056048125822, from 2, to 1,1627976185.9682844,1.083838939666748
